Enrollment
7/14/2020

Year,Level,Division,Grade,Count
"2019 - 2020",DIV,"Charlotte County Public Schools",PK,71
"2019 - 2020",DIV,"Charlotte County Public Schools",KG,124
"2019 - 2020",DIV,"Charlotte County Public Schools",01,141
"2019 - 2020",DIV,"Charlotte County Public Schools",02,129
"2019 - 2020",DIV,"Charlotte County Public Schools",03,129
"2019 - 2020",DIV,"Charlotte County Public Schools",04,115
"2019 - 2020",DIV,"Charlotte County Public Schools",05,130
"2019 - 2020",DIV,"Charlotte County Public Schools",06,130
"2019 - 2020",DIV,"Charlotte County Public Schools",07,115
"2019 - 2020",DIV,"Charlotte County Public Schools",08,135
"2019 - 2020",DIV,"Charlotte County Public Schools",09,154
"2019 - 2020",DIV,"Charlotte County Public Schools",10,150
"2019 - 2020",DIV,"Charlotte County Public Schools",11,132
"2019 - 2020",DIV,"Charlotte County Public Schools",12,108
"2019 - 2020",DIV,"Charlottesville City Public Schools",,4549
"2019 - 2020",DIV,"Charlottesville City Public Schools",PG,5
"2019 - 2020",DIV,"Charlottesville City Public Schools",PK,235
"2019 - 2020",DIV,"Charlottesville City Public Schools",KG,351
"2019 - 2020",DIV,"Charlottesville City Public Schools",01,401
"2019 - 2020",DIV,"Charlottesville City Public Schools",02,393
"2019 - 2020",DIV,"Charlottesville City Public Schools",03,354
"2019 - 2020",DIV,"Charlottesville City Public Schools",04,384
"2019 - 2020",DIV,"Charlottesville City Public Schools",05,312
"2019 - 2020",DIV,"Charlottesville City Public Schools",06,359
"2019 - 2020",DIV,"Charlottesville City Public Schools",07,273
"2019 - 2020",DIV,"Charlottesville City Public Schools",08,257
"2019 - 2020",DIV,"Charlottesville City Public Schools",09,336
"2019 - 2020",DIV,"Charlottesville City Public Schools",10,323
"2019 - 2020",DIV,"Charlottesville City Public Schools",11,280
"2019 - 2020",DIV,"Charlottesville City Public Schools",12,286
"2019 - 2020",DIV,"Chesapeake City Public Schools",,41597
"2019 - 2020",DIV,"Chesapeake City Public Schools",PK,898
"2019 - 2020",DIV,"Chesapeake City Public Schools",KG,2695
"2019 - 2020",DIV,"Chesapeake City Public Schools",01,2834
"2019 - 2020",DIV,"Chesapeake City Public Schools",02,3005
"2019 - 2020",DIV,"Chesapeake City Public Schools",03,2909
"2019 - 2020",DIV,"Chesapeake City Public Schools",04,3032
"2019 - 2020",DIV,"Chesapeake City Public Schools",05,3120
"2019 - 2020",DIV,"Chesapeake City Public Schools",06,3211
"2019 - 2020",DIV,"Chesapeake City Public Schools",07,3335
"2019 - 2020",DIV,"Chesapeake City Public Schools",08,3320
"2019 - 2020",DIV,"Chesapeake City Public Schools",09,3456
"2019 - 2020",DIV,"Chesapeake City Public Schools",10,3356
"2019 - 2020",DIV,"Chesapeake City Public Schools",11,3232
"2019 - 2020",DIV,"Chesapeake City Public Schools",12,3194
"2019 - 2020",DIV,"Chesterfield County Public Schools",,62669
"2019 - 2020",DIV,"Chesterfield County Public Schools",PK,900
"2019 - 2020",DIV,"Chesterfield County Public Schools",KG,4290
"2019 - 2020",DIV,"Chesterfield County Public Schools",01,4574
"2019 - 2020",DIV,"Chesterfield County Public Schools",02,4370
"2019 - 2020",DIV,"Chesterfield County Public Schools",03,4616
"2019 - 2020",DIV,"Chesterfield County Public Schools",04,4612
"2019 - 2020",DIV,"Chesterfield County Public Schools",05,4811
"2019 - 2020",DIV,"Chesterfield County Public Schools",06,4876
"2019 - 2020",DIV,"Chesterfield County Public Schools",07,4969
"2019 - 2020",DIV,"Chesterfield County Public Schools",08,4924
"2019 - 2020",DIV,"Chesterfield County Public Schools",09,5253
"2019 - 2020",DIV,"Chesterfield County Public Schools",10,5056
"2019 - 2020",DIV,"Chesterfield County Public Schools",11,4656
"2019 - 2020",DIV,"Chesterfield County Public Schools",12,4762
"2019 - 2020",DIV,"Clarke County Public Schools",,1926
"2019 - 2020",DIV,"Clarke County Public Schools",PK,36
"2019 - 2020",DIV,"Clarke County Public Schools",KG,105
"2019 - 2020",DIV,"Clarke County Public Schools",01,119
"2019 - 2020",DIV,"Clarke County Public Schools",02,110
"2019 - 2020",DIV,"Clarke County Public Schools",03,139
"2019 - 2020",DIV,"Clarke County Public Schools",04,127
"2019 - 2020",DIV,"Clarke County Public Schools",05,141
"2019 - 2020",DIV,"Clarke County Public Schools",06,154
"2019 - 2020",DIV,"Clarke County Public Schools",07,149
"2019 - 2020",DIV,"Clarke County Public Schools",08,180
"2019 - 2020",DIV,"Clarke County Public Schools",09,155
"2019 - 2020",DIV,"Clarke County Public Schools",10,176
"2019 - 2020",DIV,"Clarke County Public Schools",11,167
"2019 - 2020",DIV,"Clarke County Public Schools",12,168
"2019 - 2020",DIV,"Colonial Beach Public Schools",,652
"2019 - 2020",DIV,"Colonial Beach Public Schools",PK,35
"2019 - 2020",DIV,"Colonial Beach Public Schools",KG,44
"2019 - 2020",DIV,"Colonial Beach Public Schools",01,51
"2019 - 2020",DIV,"Colonial Beach Public Schools",02,44
"2019 - 2020",DIV,"Colonial Beach Public Schools",03,49
"2019 - 2020",DIV,"Colonial Beach Public Schools",04,51
"2019 - 2020",DIV,"Colonial Beach Public Schools",05,48
"2019 - 2020",DIV,"Colonial Beach Public Schools",06,51
"2019 - 2020",DIV,"Colonial Beach Public Schools",07,49
"2019 - 2020",DIV,"Colonial Beach Public Schools",08,54
"2019 - 2020",DIV,"Colonial Beach Public Schools",09,40
"2019 - 2020",DIV,"Colonial Beach Public Schools",10,57
"2019 - 2020",DIV,"Colonial Beach Public Schools",11,42
"2019 - 2020",DIV,"Colonial Beach Public Schools",12,37
"2019 - 2020",DIV,"Colonial Heights City Public Schools",,2899
"2019 - 2020",DIV,"Colonial Heights City Public Schools",PK,72
"2019 - 2020",DIV,"Colonial Heights City Public Schools",KG,216
"2019 - 2020",DIV,"Colonial Heights City Public Schools",01,232
"2019 - 2020",DIV,"Colonial Heights City Public Schools",02,218
"2019 - 2020",DIV,"Colonial Heights City Public Schools",03,187
"2019 - 2020",DIV,"Colonial Heights City Public Schools",04,224
"2019 - 2020",DIV,"Colonial Heights City Public Schools",05,227
"2019 - 2020",DIV,"Colonial Heights City Public Schools",06,228
"2019 - 2020",DIV,"Colonial Heights City Public Schools",07,212
"2019 - 2020",DIV,"Colonial Heights City Public Schools",08,206
"2019 - 2020",DIV,"Colonial Heights City Public Schools",09,246
"2019 - 2020",DIV,"Colonial Heights City Public Schools",10,216
"2019 - 2020",DIV,"Colonial Heights City Public Schools",11,201
"2019 - 2020",DIV,"Colonial Heights City Public Schools",12,214
"2019 - 2020",DIV,"Covington City Public Schools",,1018
"2019 - 2020",DIV,"Covington City Public Schools",PK,35
"2019 - 2020",DIV,"Covington City Public Schools",KG,76
"2019 - 2020",DIV,"Covington City Public Schools",01,78
"2019 - 2020",DIV,"Covington City Public Schools",02,88
"2019 - 2020",DIV,"Covington City Public Schools",03,77
"2019 - 2020",DIV,"Covington City Public Schools",04,82
"2019 - 2020",DIV,"Covington City Public Schools",05,75
"2019 - 2020",DIV,"Covington City Public Schools",06,82
"2019 - 2020",DIV,"Covington City Public Schools",07,69
"2019 - 2020",DIV,"Covington City Public Schools",08,79
"2019 - 2020",DIV,"Covington City Public Schools",09,72
"2019 - 2020",DIV,"Covington City Public Schools",10,65
"2019 - 2020",DIV,"Covington City Public Schools",11,76
"2019 - 2020",DIV,"Covington City Public Schools",12,64
"2019 - 2020",DIV,"Craig County Public Schools",,588
"2019 - 2020",DIV,"Craig County Public Schools",PK,25
"2019 - 2020",DIV,"Craig County Public Schools",KG,27
"2019 - 2020",DIV,"Craig County Public Schools",01,46
"2019 - 2020",DIV,"Craig County Public Schools",02,42
"2019 - 2020",DIV,"Craig County Public Schools",03,30
"2019 - 2020",DIV,"Craig County Public Schools",04,47
"2019 - 2020",DIV,"Craig County Public Schools",05,40
"2019 - 2020",DIV,"Craig County Public Schools",06,50
"2019 - 2020",DIV,"Craig County Public Schools",07,54
"2019 - 2020",DIV,"Craig County Public Schools",08,44
"2019 - 2020",DIV,"Craig County Public Schools",09,39
